Client_ID,Age,Annual_Income,Equity_Investment,Bond_Investment,MutualFunds,Avg_Return_Percent,Volatility_Percent
1,41,825174,796054,184067,150351,8.1,6.85
2,46,883318,297303,655887,131451,6.4,2.17
3,31,1474268,530100,133880,337765,8.1,2.16
4,37,864191,551833,386949,709004,6.85,6.85
5,59,1960584,725980,155452,549942,7.59,7.19
6,50,1017408,595776,529266,221837,6.64,9.03
7,58,1855960,577032,136356,647583,7.43,6.44
8,41,576900,240303,503521,767304,6.08,7.27
9,40,690632,294351,701748,110198,5.44,10.9
10,50,958572,158371,249403,357295,5.81,11.58
11,51,1874354,660256,695803,513130,6.76,5.59
12,52,1431696,554898,503921,463821,7.17,2.57
13,62,1260171,503437,705694,547815,6.5,5.61
14,49,1647209,702846,242610,794513,6.82,11.17
15,36,1020391,762892,355035,635648,7.17,7.35
16,56,1048044,153823,424816,119421,5.55,8.94
17,54,1825583,766047,201125,523475,7.43,8.46
18,43,1404528,603109,693112,647165,6.54,6.78
19,48,1554302,367056,673894,798579,6.2,6.69
20,49,1733049,457072,582927,452303,6.93,2.1
21,34,1142779,623432,160759,444296,7.32,9.36
22,49,592436,347209,128661,486645,7.57,2.4
23,40,1687962,651530,146485,127064,7.69,11.06
24,47,1894886,340582,337055,169327,6.81,5.97
25,25,1582622,330388,548784,274532,6.27,6.4
26,62,1340096,217456,332965,630365,6.07,9.14
27,47,545091,135689,276155,571158,6.16,6.88
28,48,957671,676305,774502,431332,6.3,9.51
29,59,1477588,400997,505108,724176,6.62,5.01
30,56,1966621,406184,636128,303626,5.89,10.74
31,44,1171860,268570,474775,396195,5.71,11.68
32,50,1626105,303453,260905,701446,6.97,3.35
33,30,1591055,704924,668724,219176,6.31,11.8
34,42,977098,376541,314337,288913,6.87,6.41
35,65,1932993,538328,452529,531586,7.1,3.68
36,40,1505008,687407,773898,766534,7.0,2.31
37,26,402363,763945,313669,460645,7.29,7.89
38,29,1442312,307650,517532,582762,6.3,6.18
39,65,1724323,597946,602520,582720,6.27,10.62
40,30,1124852,461943,301177,140074,6.8,10.67
41,35,1001255,322994,697382,330508,5.99,6.94
42,34,1844790,387797,625537,253503,5.82,11.1
43,48,1090323,201473,109835,213669,7.25,4.86
44,34,580247,664498,332044,786807,7.17,5.74
45,61,1498328,469044,298142,446630,7.16,5.05
46,32,572329,488847,362549,104100,7.03,7.5
47,37,901198,134429,447174,516686,5.6,9.48
48,62,1669589,759620,649348,100033,7.2,4.45
49,31,1461265,145068,681125,457368,5.09,11.83
50,47,1883035,275593,707475,283119,5.96,5.73
51,33,1067295,795065,409152,617463,6.94,9.17
52,64,434598,495864,564952,260483,6.61,6.6
53,44,1944536,150627,749800,537188,5.22,10.52
54,47,422670,130665,521543,499396,5.79,6.46
55,60,770576,117689,469957,252428,5.5,8.03
56,61,504777,265097,435882,122831,6.14,7.68
57,63,463192,250228,797515,389643,6.21,2.0
58,48,1669898,285356,512796,357963,6.05,8.03
59,47,643575,293546,136788,463055,6.58,11.01
60,60,1150769,440161,328692,113574,7.35,4.01
61,51,1860056,652864,440661,408136,6.84,8.75
62,62,1318054,435648,728087,560532,6.14,7.73
63,49,1645865,333704,419902,566957,5.94,11.83
64,65,955804,648888,129661,695521,7.04,11.03
65,57,1081196,607161,435614,497334,6.88,7.39
66,48,471028,178943,684997,125982,5.09,10.66
67,29,1544293,220939,364518,703452,5.8,11.52
68,28,1203378,371665,468694,533817,6.85,2.81
69,33,1882552,499284,447492,460890,6.24,11.84
70,39,1822326,529928,230463,734707,6.93,8.23
71,39,840099,265069,589469,285027,5.54,11.24
72,40,961196,783721,271616,191099,7.84,6.14
73,49,1070964,587535,743056,281971,6.24,9.29
74,38,1983589,231184,207662,286267,6.89,4.98
75,52,1569719,219864,624289,686562,6.37,2.5
76,33,544725,681549,298797,413439,7.6,4.42
77,35,1185231,335301,116223,774895,6.87,7.63
78,42,1507618,116373,210812,430236,5.96,9.44
79,33,806514,516357,574059,572806,6.65,5.87
80,64,1734649,330976,365716,450829,6.73,4.94
81,42,1293353,344851,395242,345026,6.28,9.49
82,35,552046,760415,685096,506031,6.97,5.0
83,36,697653,543876,790724,733987,6.48,5.45
84,47,1626628,313189,510382,121761,6.36,5.52
85,31,1827391,316118,564281,621584,5.93,9.46
86,31,1065633,644361,163729,313742,7.76,6.74
87,32,1721497,691710,494811,258338,6.96,7.9
88,44,1158013,680161,489771,711515,6.87,6.91
89,44,1405445,335010,317251,572940,6.43,8.77
90,56,604600,155467,607404,670979,6.03,4.46
91,53,1810265,572105,533652,319754,6.99,4.61
92,40,1694199,585887,531005,186939,7.33,2.07
93,61,1806490,170577,167936,233820,6.4,9.04
94,46,558828,287341,369764,285869,6.91,2.23
95,64,1710644,168300,692380,795606,6.01,4.56
96,47,1063625,101960,189233,205580,6.58,2.69
97,26,1897425,456213,700289,535525,6.48,5.04
98,48,824620,543801,535641,455643,7.0,3.69
99,59,631861,349662,478768,662241,5.87,11.92
100,42,801371,533510,470078,691575,6.75,6.4
101,47,1095863,493027,612327,254330,6.47,7.21
102,34,1888573,197758,427528,673911,5.82,9.79
103,49,652347,447821,589632,110784,6.62,5.25
104,60,1569017,162131,155617,228782,6.36,9.6
105,31,1431949,171938,618788,521498,5.79,6.57
106,65,1901659,469308,494068,738688,6.8,4.48
107,36,1683808,592161,402894,170461,7.32,5.12
108,32,1279226,615721,337852,280177,7.43,5.21
109,26,1477477,194188,458778,594994,5.88,8.48
110,48,1713863,293060,726359,408090,5.82,7.76
111,64,1373570,658464,705461,112920,6.3,10.84
112,63,557879,235227,312997,540608,6.17,9.03
113,51,804964,715659,255523,101786,8.03,4.93
114,60,1213064,165254,579906,717632,5.81,7.35
115,34,1498309,507481,141529,678379,7.29,6.42
116,55,1166546,442945,525909,686838,6.6,5.68
117,50,1925070,456866,713574,620245,6.55,4.17
118,43,1278905,710521,506518,495169,7.29,3.61
119,37,1524600,132333,764154,226069,5.6,3.92
120,46,766336,398073,469442,671513,6.03,11.31
121,65,708901,372369,674786,767941,6.44,4.28
122,64,662563,752660,590614,598328,6.38,11.76
123,60,533911,533443,545340,690778,6.59,6.99
124,46,901994,547051,367634,659902,7.1,4.73
125,25,1831974,683110,599908,211806,6.95,6.14
126,54,730582,280954,621001,581358,6.34,3.87
127,51,1095126,379562,258767,715401,6.8,6.59
128,49,473565,645864,609575,261004,6.98,4.9
129,51,1058840,687809,153507,766250,7.13,9.66
130,53,629964,501094,281022,165944,7.73,2.66
131,25,1641269,389410,415860,341588,6.44,8.55
132,64,768915,167166,183731,533371,6.85,3.0
133,29,1402241,144013,433609,361867,5.73,8.05
134,29,545955,728583,115385,393077,7.61,9.75
135,32,1623583,682048,743043,622707,6.88,3.95
136,58,730977,755836,754990,611836,6.75,6.11
137,39,1690632,521546,663751,239612,6.59,5.78
138,57,802187,138252,674490,505880,5.2,10.94
139,37,540888,622298,291917,678447,6.91,8.91
140,48,1575566,707469,126555,408009,8.3,2.08
141,65,1842089,486493,254626,254005,7.68,2.77
142,46,1434973,127531,182459,325035,5.89,11.35
143,50,1758682,705477,625291,290533,7.19,3.48
144,36,1966585,738754,242191,242050,7.9,5.18
145,58,1077528,732034,301189,183872,7.48,8.32
146,45,650485,433136,366796,553253,6.38,10.4
147,40,1441268,527991,334179,474667,6.85,8.39
148,63,1554685,557958,388175,609874,7.06,5.2
149,44,611283,571764,578269,259287,6.86,5.35
150,51,513696,343660,179527,522231,6.94,7.07
151,28,1806936,350987,447900,522315,6.1,10.17
152,57,962720,265547,545018,398012,6.38,3.75
153,65,488032,799050,119648,522918,7.59,9.07
154,59,1767345,461681,357501,777368,7.12,3.01
155,42,1283610,680681,541213,539062,7.23,3.17
156,64,774834,661304,154874,278758,7.9,6.26
157,45,721175,632878,142589,205715,8.04,6.01
158,47,1462117,524856,651825,338396,6.17,10.1
159,43,1983572,427691,590801,559539,6.1,9.67
160,31,608554,333255,465031,592638,6.83,2.2
161,35,805202,497120,708071,483743,6.35,6.91
162,31,1726886,490024,526995,721376,6.19,10.46
163,62,1737072,576162,763396,179529,6.53,6.06
164,31,1516155,239254,304287,567072,6.88,2.2
165,57,732562,435283,357259,250349,6.61,9.54
166,58,673584,692171,283574,467888,7.13,9.19
167,47,1359014,191128,783270,350053,5.55,7.04
168,46,1145916,779412,353067,285105,7.8,3.56
169,52,1499186,238388,169644,596630,6.53,8.47
170,32,428128,798064,564097,419207,6.76,9.46
171,64,915834,228896,278977,220072,6.83,3.43
172,37,1714975,163162,187499,780095,6.05,10.54
173,62,1817321,262419,701624,513873,6.21,3.76
174,36,1463969,668018,609186,331847,6.36,11.26
175,36,1160685,258720,192838,133374,7.06,6.04
176,59,890676,799878,627676,212228,7.33,3.7
177,56,862618,347373,207911,242946,7.49,2.98
178,39,1775412,619768,327705,793895,7.41,2.77
179,32,1447384,685946,190423,591978,7.3,8.46
180,30,756322,291144,427247,493664,6.64,3.73
181,49,1831000,617891,279935,697633,7.58,2.28
182,57,485475,512705,450114,695360,6.29,10.95
183,43,478335,113230,592802,259160,5.65,4.74
184,25,1677027,224957,486972,631357,5.76,10.2
185,56,654182,201199,746325,354165,5.3,10.21
186,55,850181,318275,731530,119947,5.48,10.9
187,49,899264,730844,539619,706994,6.89,6.77
188,52,835714,363495,126139,304653,7.21,8.48
189,38,1649725,486885,628447,353373,6.82,3.21
190,28,1302859,663829,686704,162591,6.34,10.72
191,34,1872896,778008,119820,524890,8.08,3.93
192,50,986237,538348,497079,616319,6.69,6.85
193,47,1772759,562995,320607,363965,7.26,5.81
194,44,466660,684983,769590,177519,6.63,6.84
195,43,1588386,151313,506710,385599,5.31,11.56
196,50,797093,479606,311391,522650,6.92,7.05
197,47,510879,504200,796253,426685,6.54,4.14
198,38,467530,286626,227389,507692,6.52,8.76
199,42,1985842,685687,771115,206845,6.55,7.64
200,44,1758651,366943,519256,570874,5.92,11.2
201,50,1131603,770705,254484,587308,7.09,10.28
202,58,1490488,561901,260421,374416,6.91,10.64
203,52,1594785,465094,720376,130324,6.03,9.35
204,29,418524,575331,698842,762346,6.07,10.94
205,49,1958582,677303,391145,189138,7.33,6.64
206,27,1637401,154441,125287,452583,7.06,2.26
207,54,966240,337059,608270,135079,6.11,6.96
208,26,1610341,214249,627702,107055,6.0,3.59
209,26,1811157,229731,154309,374179,7.15,3.5
210,50,511362,497723,379914,530506,7.15,3.68
211,60,1893962,572562,242569,155600,7.45,8.21
212,37,873570,289335,724496,714394,5.68,9.82
213,52,931242,457872,671357,611324,6.44,5.81
214,63,1085681,215559,448173,320758,5.76,9.88
215,59,688476,597496,553697,781350,6.16,11.93
216,51,1517325,145469,559428,387018,6.1,2.75
217,25,653531,590423,708670,236979,6.21,10.16
218,52,1421643,497397,647826,663993,6.59,5.14
219,56,1734243,169358,646618,183687,5.24,9.77
220,35,1582033,620127,796913,122806,6.76,4.1
221,47,1207356,728541,682856,355037,6.68,7.82
222,39,551563,663022,245692,757137,7.62,2.75
223,38,1091675,521670,742373,664747,5.99,10.48
